"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"471efa","WZZ1908 ","Hungary","1653417366","1653417366","3.3313","41.9751","10668","FALSE","198.01","234.41","0.33",NA,"10881.36","6342","FALSE","0","4"
"471efb","WZZ1354 ","Hungary","1653417366","1653417366","4.4955","41.0762","7162.8","FALSE","156.93","278.1","-8.45",NA,"7399.02","1730","FALSE","0","0"
"a5950a","N459RH  ","United States","1653417366","1653417366","-94.9106","39.5933","13716","FALSE","260.8","72.32","-0.33",NA,"13967.46",NA,"FALSE","0","0"
"a3a538","","United States","1653417225","1653417225","-80.9247","33.1339","10972.8","FALSE","217.98","187.59","0",NA,"11506.2",NA,"FALSE","0","0"
"471efe","WUK9035 ","Hungary","1653417366","1653417366","18.3547","43.2822","10934.7","FALSE","222.37","313.22","2.6",NA,"11300.46",NA,"FALSE","0","0"
"471efc","WZZ1399 ","Hungary","1653417366","1653417366","-0.3082","51.885","373.38","FALSE","68.9","254.41","-3.58",NA,"396.24","3554","FALSE","0","4"
"471efd","WZZ3KW  ","Hungary","1653417367","1653417367","18.8337","44.2516","10972.8","FALSE","215.14","286.96","0",NA,"11323.32","4150","FALSE","0","4"
"a21b7d","N235EF  ","United States","1653417366","1653417366","-73.1434","40.5119","7719.06","FALSE","205.78","253.74","9.43",NA,"8031.48","7155","FALSE","0","3"
"aadc82","N7995G  ","United States","1653417366","1653417366","-73.8105","41.0711","670.56","FALSE","62.78","1.41","-1.63",NA,"739.14","1200","FALSE","0","2"
"e80279","LPE2448 ","Chile","1653417366","1653417366","-76.313","-9.0046","11277.6","FALSE","219.39","9.99","0",NA,"11955.78",NA,"FALSE","0","1"
"3c666f","DLH64M  ","Germany","1653417366","1653417366","8.7463","48.0807","10370.82","FALSE","260.61","23.38","0",NA,"10515.6","5222","FALSE","0","1"
"e80278","LPE2450 ","Chile","1653417353","1653417353","-68.5312","18.2347","1767.84","FALSE","144.57","0.82","-7.8",NA,"1927.86",NA,"FALSE","0","1"
"ace6ef","N930PA  ","United States","1653417366","1653417366","-81.371","28.5574","312.42","FALSE","56.5","236.89","-3.25",NA,"335.28",NA,"FALSE","0","0"
"ac1c5f","N88KB   ","United States","1653417366","1653417366","-76.9626","39.1019","838.2","FALSE","90.75","279.46","2.28",NA,"899.16",NA,"FALSE","0","0"
"e8026f","LPE2016 ","Chile","1653417333","1653417333","-76.5769","-12.2266","5783.58","FALSE","179.02","290","-5.53",NA,NA,NA,"FALSE","0","1"
"e8026e","LPE2456 ","Chile","1653417333","1653417333","-77.4268","-11.9569","2491.74","FALSE","144.26","296.02","11.05",NA,NA,NA,"FALSE","0","1"
"abfc71","SWA1374 ","United States","1653417365","1653417366","-120.6573","31.9035","10972.8","FALSE","230.91","241.38","0",NA,"11490.96",NA,"FALSE","0","4"
"ace6e2","AAL327  ","United States","1653417366","1653417366","-73.9978","40.3743","1028.7","FALSE","115.44","325.53","-2.93",NA,"1120.14","1767","FALSE","0","1"
"a007a5","N1004N  ","United States","1653417366","1653417366","-83.6868","43.0022","624.84","FALSE","41.34","73.37","5.2",NA,"693.42",NA,"FALSE","0","2"
"a34e97","DAL1465 ","United States","1653417366","1653417366","-101.3975","41.6293","9753.6","FALSE","220.01","246.43","0",NA,"9890.76",NA,"FALSE","0","4"
"ad4f81","N957JS  ","United States","1653417366","1653417366","-71.9794","41.5778","12192","FALSE","232.43","217.17","0",NA,"12550.14","7310","FALSE","0","0"
"a950cb","N7KP    ","United States","1653417365","1653417365","-98.8017","29.3603","967.74","FALSE","69.35","350.61","-0.98",NA,"914.4",NA,"FALSE","0","0"
"ae13b9","SCARY16 ","United States","1653417366","1653417366","-97.956","29.7201","647.7","FALSE","67.78","263.9","-2.28",NA,"594.36",NA,"FALSE","0","0"
